trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,16,1,fixation,fixation,fixation,fixation,fixation,0,1
2,16,1,orthographic,identity,cvc_metronome,fries,jests,4,1
3,16,1,orthographic,identity,cvc_metronome,lust,took,4,0
4,16,1,orthographic,identity,cvc_metronome,slung,slung,3,0
5,16,1,orthographic,identity,cvc_metronome,notes,notes,3,0
6,16,2,fixation,fixation,fixation,fixation,fixation,0,1
7,16,2,false_font,identity,control,swim,swim,3,1
8,16,2,false_font,identity,control,curve,murve,4,0
9,16,2,false_font,identity,control,folds,xolds,4,0
10,16,2,false_font,identity,control,snaps,snaps,3,0
11,16,3,fixation,fixation,fixation,fixation,fixation,0,1
12,16,3,phonological,rhyming,metronome_only,thiny,eack,4,1
13,16,3,phonological,rhyming,metronome_only,rutch,gutch,3,0
14,16,3,phonological,rhyming,metronome_only,slutch,nutch,3,0
15,16,3,phonological,rhyming,metronome_only,toyal,prit,4,0
16,16,4,fixation,fixation,fixation,fixation,fixation,0,1
17,16,4,orthographic,identity,metronome_only,flare,flare,3,1
18,16,4,orthographic,identity,metronome_only,brown,trace,4,0
19,16,4,orthographic,identity,metronome_only,meek,meek,3,0
20,16,4,orthographic,identity,metronome_only,brook,taker,4,0
21,16,5,fixation,fixation,fixation,fixation,fixation,0,1
22,16,5,phonological,rhyming,cvc_only,kroke,sroke,3,1
23,16,5,phonological,rhyming,cvc_only,shool,raive,4,0
24,16,5,phonological,rhyming,cvc_only,bouse,feech,4,0
25,16,5,phonological,rhyming,cvc_only,krite,faite,3,0
26,16,6,fixation,fixation,fixation,fixation,fixation,0,1
27,16,6,false_font,identity,control,mant,gant,4,1
28,16,6,false_font,identity,control,daste,daste,3,0
29,16,6,false_font,identity,control,shid,shid,3,0
30,16,6,false_font,identity,control,hordy,aordy,4,0
31,16,7,fixation,fixation,fixation,fixation,fixation,0,1
32,16,7,phonological,rhyming,cvc_metronome,cired,slark,4,1
33,16,7,phonological,rhyming,cvc_metronome,twirt,slirt,3,0
34,16,7,phonological,rhyming,cvc_metronome,vlick,mlick,3,0
35,16,7,phonological,rhyming,cvc_metronome,blon,snits,4,0
36,16,8,fixation,fixation,fixation,fixation,fixation,0,1
37,16,8,orthographic,identity,cvc_only,hurl,hurl,3,1
38,16,8,orthographic,identity,cvc_only,vases,soon,4,0
39,16,8,orthographic,identity,cvc_only,rally,cute,4,0
40,16,8,orthographic,identity,cvc_only,heel,heel,3,0
